,Title,Artist,dateCreated,Department,dateAcquired,URL,Gender,Nationality,Nation,country_code,Divide,Region,Source
85684,Spinaci,Thomas Schütte,1989,Still Images,2005,http://www.moma.org/collection/works/97322,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85685,Untitled #12,Thomas Schütte,1991,Still Images,2005,http://www.moma.org/collection/works/97323,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85686,Untitled #26,Thomas Schütte,1991,Still Images,2005,http://www.moma.org/collection/works/97324,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85687,Untitled #61,Thomas Schütte,1991,Still Images,2005,http://www.moma.org/collection/works/97325,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85688,Mirror Drawing 14-2-99,Thomas Schütte,1999,Still Images,2005,http://www.moma.org/collection/works/97326,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85689,Mirror Drawing 14-2-99,Thomas Schütte,1999,Still Images,2005,http://www.moma.org/collection/works/97327,M,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85690,Untitled,Dana Schutz,2004,Still Images,2005,http://www.moma.org/collection/works/97328,F,American,United States,USA,Global North,North America,MoMA (sampled)
85691,Rooms Fulfilled,Christian Schwarzwald,2003,Still Images,2005,http://www.moma.org/collection/works/97331,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85692,Rooms Fulfilled,Christian Schwarzwald,2003,Still Images,2005,http://www.moma.org/collection/works/97332,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85693,Rooms Fulfilled,Christian Schwarzwald,2003,Still Images,2005,http://www.moma.org/collection/works/97333,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85694,Rooms Fulfilled,Christian Schwarzwald,2003,Still Images,2005,http://www.moma.org/collection/works/97334,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85695,Rooms Fulfilled,Christian Schwarzwald,2003,Still Images,2005,http://www.moma.org/collection/works/97335,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85696,Rooms Fulfilled,Christian Schwarzwald,2003,Still Images,2005,http://www.moma.org/collection/works/97336,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85697,Rooms Fulfilled,Christian Schwarzwald,2003,Still Images,2005,http://www.moma.org/collection/works/97337,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85698,Antechamber,Christian Schwarzwald,2004,Still Images,2005,http://www.moma.org/collection/works/97341,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85699,Antechamber,Christian Schwarzwald,2004,Still Images,2005,http://www.moma.org/collection/works/97342,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85700,Antechamber,Christian Schwarzwald,2004,Still Images,2005,http://www.moma.org/collection/works/97343,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85701,Antechamber,Christian Schwarzwald,2004,Still Images,2005,http://www.moma.org/collection/works/97344,M,Austrian,Austria,AUT,Global North,Europe,MoMA (sampled)
85702,Knights Castle,Michael Scoggins,2004,Still Images,2005,http://www.moma.org/collection/works/97345,M,American,United States,USA,Global North,North America,MoMA (sampled)
85703,Space Battle,Michael Scoggins,2004,Still Images,2005,http://www.moma.org/collection/works/97346,M,American,United States,USA,Global North,North America,MoMA (sampled)
85704,Steel,Michael Scoggins,2004,Still Images,2005,http://www.moma.org/collection/works/97347,M,American,United States,USA,Global North,North America,MoMA (sampled)
85705,The Stalkers,Michael Scoggins,2004,Still Images,2005,http://www.moma.org/collection/works/97348,M,American,United States,USA,Global North,North America,MoMA (sampled)
85706,These days...,Michelle Segre,2000,Still Images,2005,http://www.moma.org/collection/works/97349,F,American,United States,USA,Global North,North America,MoMA (sampled)
85707,Never-3,Michelle Segre,2003,Still Images,2005,http://www.moma.org/collection/works/97350,F,American,United States,USA,Global North,North America,MoMA (sampled)
85708,Jewelled Greens,Rachel Selekman,2003,Still Images,2005,http://www.moma.org/collection/works/97351,F,American,United States,USA,Global North,North America,MoMA (sampled)
85709,Cascade,Rachel Selekman,2003,Still Images,2005,http://www.moma.org/collection/works/97352,F,American,United States,USA,Global North,North America,MoMA (sampled)
85710,The Seed,Rachel Selekman,2003,Still Images,2005,http://www.moma.org/collection/works/97353,F,American,United States,USA,Global North,North America,MoMA (sampled)
85711,Untitled (layered cityscape),Randall Sellers,2003,Still Images,2005,http://www.moma.org/collection/works/97354,M,American,United States,USA,Global North,North America,MoMA (sampled)
85712,Untitled (layered cityscape),Randall Sellers,2003,Still Images,2005,http://www.moma.org/collection/works/97355,M,American,United States,USA,Global North,North America,MoMA (sampled)
85713,Untitled (layered cityscape),Randall Sellers,2003,Still Images,2005,http://www.moma.org/collection/works/97356,M,American,United States,USA,Global North,North America,MoMA (sampled)
85714,The Saints in This World Are Watching,Bettina Sellmann,2003,Still Images,2005,http://www.moma.org/collection/works/97357,F,German,Germany,DEU,Global North,Europe,MoMA (sampled)
85715,Cambria II,Richard Serra,1991,Still Images,2005,http://www.moma.org/collection/works/97363,M,American,United States,USA,Global North,North America,MoMA (sampled)
