Title;Artist;dateCreated;Department;dateAcquired;URL;Gender;Nationality;Nation;country_code;Divide;Region;Source
Untitled from Study for Twenty-two Constructions from 1967;Fred Sandback;1986;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled from Study for Twenty-two Constructions from 1967;Fred Sandback;1986;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled from Study for Twenty-two Constructions from 1967;Fred Sandback;1986;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled from Study for Twenty-two Constructions from 1967;Fred Sandback;1986;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled from Study for Twenty-two Constructions from 1967;Fred Sandback;1986;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled from Study for Twenty-two Constructions from 1967;Fred Sandback;1986;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled from Study for Twenty-two Constructions from 1967;Fred Sandback;1986;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled from Study for Twenty-two Constructions from 1967;Fred Sandback;1986;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Untitled from Study for Twenty-two Constructions from 1967;Fred Sandback;1986;Still Images;2014;;M;American;United States;USA;Global North;North America;MoMA (sampled)
Available Light / Light Over Water;John Adams;1983;Still Images;2013;http://www.moma.org/collection/works/183800;M;American;United States;USA;Global North;North America;MoMA (sampled)
Abstract Energy;Albrecht/d.;1985;Still Images;2013;http://www.moma.org/collection/works/183803;M;German;Germany;DEU;Global North;Europe;MoMA (sampled)
